stem,day,lvl,ring_struct,before,after,gain,d1,d2,note
20260727_003706,20260727,116.3,2.514,5.113,1.013,2.684,3.312,0.952,
20260727_003951,20260727,113.0,2.41,5.227,5.227,0.2,3.82,3.875,
20260727_004236,20260727,104.0,2.331,5.031,3.223,6.0,3.772,3.188,
20260727_004529,20260727,95.0,2.537,5.327,3.649,6.0,3.76,3.568,
20260727_004814,20260727,81.3,2.91,5.423,4.901,6.0,5.041,4.768,
20260727_005058,20260727,63.0,3.528,7.25,5.199,6.0,6.061,5.3,
20260727_005343,20260727,47.3,4.009,6.221,4.32,6.0,5.526,5.453,
20260727_005628,20260727,32.7,4.956,7.338,5.113,6.0,6.117,5.17,
20260727_005913,20260727,20.0,6.188,7.889,6.19,6.0,7.226,6.665,
20260727_010054,20260727,14.0,6.67,7.294,5.865,6.0,7.294,6.522,
20260727_010622,20260727,1.0,13.739,11.223,8.724,6.0,11.223,10.097,
20260727_011224,20260727,0.0,26.477,18.086,18.086,1.0,18.086,18.086,
20260727_011748,20260727,,,,,,,,night
20260727_012318,20260727,,,,,,,,night
20260727_012842,20260727,,,,,,,,night
20260727_013405,20260727,,,,,,,,night
20260727_091833,20260727,,,,,,,,night
20260727_092356,20260727,,,,,,,,night
20260727_092922,20260727,,,,,,,,night
20260727_093445,20260727,,,,,,,,night
20260727_094013,20260727,,,,,,,,night
20260727_094539,20260727,0.0,24.107,17.231,17.231,1.0,17.231,17.231,
20260727_095102,20260727,3.0,11.79,9.766,7.363,6.0,9.766,8.951,
20260727_095517,20260727,14.7,6.874,9.995,5.335,4.874,9.994,6.899,
20260727_095801,20260727,23.3,5.917,7.995,5.682,6.0,7.072,6.608,
20260727_100046,20260727,38.0,4.655,6.98,5.463,6.0,6.195,6.195,
20260727_100331,20260727,52.3,3.695,6.603,6.603,0.2,5.936,5.967,
20260727_100616,20260727,68.7,3.389,5.975,4.308,6.0,5.078,4.447,
20260727_100900,20260727,83.0,2.947,5.953,4.248,6.0,5.047,4.53,
20260727_101145,20260727,97.0,2.53,4.295,3.584,6.0,3.921,3.524,
20260727_101429,20260727,103.0,2.411,4.818,3.275,6.0,4.401,3.588,
20260727_101714,20260727,107.3,2.332,3.868,2.652,6.0,3.461,2.901,
20260727_101959,20260727,109.7,2.353,4.466,3.195,6.0,3.833,3.271,
20260727_102256,20260727,112.7,2.244,4.573,2.994,6.0,4.192,3.259,
20260727_102540,20260727,115.3,2.465,4.587,1.326,3.462,2.854,1.463,
20260727_102825,20260727,118.0,2.203,4.476,2.08,6.0,2.629,2.008,
20260727_103109,20260727,121.7,2.276,4.997,0.871,2.71,2.805,0.837,
20260727_103353,20260727,128.0,2.101,4.655,0.79,2.845,2.178,0.761,
20260727_103638,20260727,133.0,2.025,4.33,1.097,3.875,2.093,1.22,
20260727_103922,20260727,138.0,2.045,4.512,1.156,3.687,2.344,1.298,
20260727_104207,20260727,144.0,1.912,4.989,0.661,3.825,2.268,1.305,
